,School,Professor,Department,Rating,Rating Count
204,Pennsylvania State University,Bailey Indira,Visual Arts,1.3,3
205,Pennsylvania State University,Baird Tim,Landscape Architecture & Regional Planning,3.5,1
206,Pennsylvania State University,Baka Jennifer,Geography,2.8,4
207,Pennsylvania State University,Baker Eleanor,English,2.5,25
208,Pennsylvania State University,Baker David,Education,2.5,3
209,Pennsylvania State University,Baker Brian,Sociology,4.3,67
210,Pennsylvania State University,Baker Lehtonen Kelly,English,3.5,4
211,Pennsylvania State University,Bakis Charles,Engineering,4.8,3
212,Pennsylvania State University,Bakke Alyssa,Food Science,4.0,1
213,Pennsylvania State University,Bakowicz Matthew,Recreation Parks  Tourism,4.8,4
214,Pennsylvania State University,Bakshi Alok,Mathematics,4.4,14
215,Pennsylvania State University,Balachandran Jyoti,History,4.5,2
216,Pennsylvania State University,Balakian Sophia,African-American Studies,4.2,5
217,Pennsylvania State University,Balay Joey Micheal,Philosophy,3.9,11
218,Pennsylvania State University,Balay Jillian,Art History,1.0,2
219,Pennsylvania State University,Baldanza Kathlene,History,4.9,5
220,Pennsylvania State University,Baldi Philip,Classics,4.0,14
221,Pennsylvania State University,Baldwin Diane,Kinesiology,5.0,4
222,Pennsylvania State University,Baliff Serge,Mathematics,4.8,10
223,Pennsylvania State University,Ballenger Jesse,Social Science,3.9,18
224,Pennsylvania State University,Balliett Timothy,Education,4.2,3
225,Pennsylvania State University,Ballora Mark,Music,2.8,48
226,Pennsylvania State University,Bamaca Mayra,Human Development,2.7,12
227,Pennsylvania State University,Bandman Tatiana,Mathematics,1.2,6
228,Pennsylvania State University,Bandyopadhyay Shreejit,Mathematics,2.6,9
229,Pennsylvania State University,Banfield Ian,Mathematics,1.9,8
230,Pennsylvania State University,Bang Seunghoon,Mathematics,4.0,91
231,Pennsylvania State University,Banka Rachel,English,4.0,5
232,Pennsylvania State University,Bannangkoon Pichkitti,Mathematics,4.8,11
233,Pennsylvania State University,Bannano Alessandro,Agriculture,3.0,2
234,Pennsylvania State University,Bannon Peter,Meteorology,2.2,13
235,Pennsylvania State University,Bansal Saurabh,Business,4.8,13
236,Pennsylvania State University,Banyaga Augustin,Mathematics,2.1,22
237,Pennsylvania State University,Banyas Kyle,Chemistry,5.0,3
238,Pennsylvania State University,Bao Rui,Mathematics,1.5,8
239,Pennsylvania State University,Bao Le,Statistics,4.9,12
240,Pennsylvania State University,Baptista Gregory,English,4.9,8
241,Pennsylvania State University,Baptiste Ian,Education,2.4,19
242,Pennsylvania State University,Bara Rachel,English,3.2,4
243,Pennsylvania State University,Barata Raquel,Statistics,5.0,1
244,Pennsylvania State University,Barber Greg,Chemistry,3.5,38
245,Pennsylvania State University,Barbieri Anthony,Communication,3.4,33
246,Pennsylvania State University,Barchinger Sarah,Biological Sciences,5.0,1
247,Pennsylvania State University,Barger Lori,Communication,5.0,2
248,Pennsylvania State University,Barger David,Communication Arts,3.0,4
249,Pennsylvania State University,Baril Megan,Human Development,3.7,14
250,Pennsylvania State University,Barker Joe,Philosophy,4.8,8
251,Pennsylvania State University,Barkley Mathew,Business,5.0,1
252,Pennsylvania State University,Barkley Mathew,Labor amp Employment Relations,5.0,1
253,Pennsylvania State University,Barlett A.L.,Hotel & Restaurant Management,3.8,12
254,Pennsylvania State University,Barlow Jesse,Computer Science,3.6,10
255,Pennsylvania State University,Barlow Brad,Astronomy,4.7,13
256,Pennsylvania State University,Barnard Mary,Spanish,4.3,12
257,Pennsylvania State University,Barnhart James,History,3.8,13
258,Pennsylvania State University,Barron Orie,Accounting,5.0,2
259,Pennsylvania State University,Barry Theresa,Human Development,3.2,19
260,Pennsylvania State University,Barsom Paul,Music,4.9,6
261,Pennsylvania State University,Bartell Paul,Animal Science,4.0,3
262,Pennsylvania State University,Barthelme Thomas,Mathematics,2.1,4
263,Pennsylvania State University,Bartlett Bart,Hospitality,3.7,42
264,Pennsylvania State University,Bartok Cynthia,Kinesiology,2.0,3
265,Pennsylvania State University,Barton Russell,Statistics,4.4,5
266,Pennsylvania State University,Barton Jennifer,Nursing,4.0,1
267,Pennsylvania State University,Basak Amrita,Mechanical Engineering,1.0,2
268,Pennsylvania State University,Basaric Sanja,Health Science,5.0,3
269,Pennsylvania State University,Bascom Nick Frost,English,4.2,2
